subject_id,theta
Claude 4 Sonnet - 10132025,-1.911959171295166
Claude 4.5 Haiku -- 10222025,-1.2462652921676636
Claude 4.5 Sonnet - 10132025,-1.0081342458724976
Claude Opus 4.1 - paper,-2.744579553604126
Claude Sonnet 4 - paper,-3.427156925201416
GLM-4.5 -- 10222025,-1.4623943567276
GPT OSS - paper,-3.4173641204833984
GPT-4o - paper,-5.433219909667969
GPT-5 - 10132025,-1.6501595973968506
GPT-5 Codex -- debug-oct22,-2.6566715240478516
GPT-5 High - paper,-2.5672223567962646
Gemini 2.5 Pro Preview - paper,-3.896681785583496
Gemini 2.5 Pro Preview -- debug-oct22,-3.265291690826416
Kimi - paper,-2.5088706016540527
